kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953592659393938,5169744327307,192.168.20.11,50262,192.168.20.108,12345,1,1,8,3
1787953592674326919,5169759219047,192.168.20.11,50262,192.168.20.108,12345,2,2,8,3
1787953592690092549,5169775004825,192.168.20.11,50262,192.168.20.108,12345,3,3,8,3
1787953592704777253,5169789666473,192.168.20.11,50262,192.168.20.108,12345,4,4,8,3
1787953592719794864,5169804710122,192.168.20.11,50262,192.168.20.108,12345,5,5,8,3
1787953592734427956,5169819314066,192.168.20.11,50262,192.168.20.108,12345,6,6,8,3
1787953592749732994,5169834645344,192.168.20.11,50262,192.168.20.108,12345,7,7,8,3
1787953592764368697,5169849258603,192.168.20.11,50262,192.168.20.108,12345,8,8,8,3
1787953592780508086,5169865392177,192.168.20.11,50262,192.168.20.108,12345,9,9,8,3
1787953592794622216,5169879530973,192.168.20.11,50262,192.168.20.108,12345,10,10,8,3
1787953592809649012,5169894556510,192.168.20.11,50262,192.168.20.108,12345,11,11,8,3
1787953592824419586,5169909303177,192.168.20.11,50262,192.168.20.108,12345,12,12,8,3
1787953592839743160,5169924662881,192.168.20.11,50262,192.168.20.108,12345,13,13,8,3
1787953592854864679,5169939752177,192.168.20.11,50262,192.168.20.108,12345,14,14,8,3
1787953592869522475,5169954446196,192.168.20.11,50262,192.168.20.108,12345,15,15,8,3
1787953592884336568,5169969230621,192.168.20.11,50262,192.168.20.108,12345,16,16,8,3
1787953592899723253,5169984642344,192.168.20.11,50262,192.168.20.108,12345,17,17,8,3
1787953592914511882,5169999411788,192.168.20.11,50262,192.168.20.108,12345,18,18,8,3
1787953592929441919,5170014333270,192.168.20.11,50262,192.168.20.108,12345,19,19,8,3
1787953592944618067,5170029542566,192.168.20.11,50262,192.168.20.108,12345,20,20,8,3
1787953592959886123,5170044771473,192.168.20.11,50262,192.168.20.108,12345,21,21,8,3
1787953592974420105,5170059300603,192.168.20.11,50262,192.168.20.108,12345,22,22,8,3
1787953592989379067,5170074284121,192.168.20.11,50262,192.168.20.108,12345,23,23,8,3
1787953593004930993,5170089813381,192.168.20.11,50262,192.168.20.108,12345,24,24,8,3
1787953593019369271,5170104265862,192.168.20.11,50262,192.168.20.108,12345,25,25,8,3
1787953593034730660,5170119639325,192.168.20.11,50262,192.168.20.108,12345,26,26,8,3
1787953593049373049,5170134278029,192.168.20.11,50262,192.168.20.108,12345,27,27,8,3
1787953593064734734,5170149618214,192.168.20.11,50262,192.168.20.108,12345,28,28,8,3
1787953593079339401,5170164215788,192.168.20.11,50262,192.168.20.108,12345,29,29,8,3
1787953593094794419,5170179690732,192.168.20.11,50262,192.168.20.108,12345,30,30,8,3
1787953593110159790,5170195049769,192.168.20.11,50262,192.168.20.108,12345,31,31,8,3
1787953593124699827,5170209580010,192.168.20.11,50262,192.168.20.108,12345,32,32,8,3
1787953593139647234,5170224539436,192.168.20.11,50262,192.168.20.108,12345,33,33,8,3
1787953593154442104,5170239328195,192.168.20.11,50262,192.168.20.108,12345,34,34,8,3
1787953593169370641,5170254246621,192.168.20.11,50262,192.168.20.108,12345,35,35,8,3
1787953593184469401,5170269341362,192.168.20.11,50262,192.168.20.108,12345,36,36,8,3
1787953593199578975,5170284474251,192.168.20.11,50262,192.168.20.108,12345,37,37,8,3
1787953593214780919,5170299669603,192.168.20.11,50262,192.168.20.108,12345,38,38,8,3
1787953593229565623,5170314458899,192.168.20.11,50262,192.168.20.108,12345,39,39,8,3
1787953593244642419,5170329535084,192.168.20.11,50262,192.168.20.108,12345,40,40,8,3
1787953593259355456,5170344225732,192.168.20.11,50262,192.168.20.108,12345,41,41,8,3
1787953593274314697,5170359170603,192.168.20.11,50262,192.168.20.108,12345,42,42,8,3
1787953593289600419,5170374483917,192.168.20.11,50262,192.168.20.108,12345,43,43,8,3
1787953593304466938,5170389327029,192.168.20.11,50262,192.168.20.108,12345,44,44,8,3
1787953593319816789,5170404692214,192.168.20.11,50262,192.168.20.108,12345,45,45,8,3
1787953593334822252,5170419702695,192.168.20.11,50262,192.168.20.108,12345,46,46,8,3
1787953593349358975,5170434216010,192.168.20.11,50262,192.168.20.108,12345,47,47,8,3
1787953593364548364,5170449405714,192.168.20.11,50262,192.168.20.108,12345,48,48,8,3
1787953593379607012,5170464461788,192.168.20.11,50262,192.168.20.108,12345,49,49,8,3
